step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
75,7.500000,-1.923184,-8.086393,-0.177811,-6.733759,1.263559,-4.750672,0.087004,-1.184865,0.205012,-0.000000,0.205012,2.102974,0.000000
76,7.600000,-2.252417,-8.439783,-3.789461,-6.052012,1.016102,-4.929018,0.037068,-1.196534,0.202427,-0.000000,0.202427,2.137958,0.000000
77,7.700000,-2.544300,-8.727434,-3.325949,-5.343244,0.802623,-5.063394,-0.004727,-1.199367,0.199906,-0.000000,0.199907,2.174171,0.000000
78,7.800000,-2.852607,-9.032213,-5.284013,-12.152918,0.501726,-5.527364,-0.061810,-1.264735,0.197447,-0.000000,0.197448,2.208059,0.000000
79,7.900000,-3.137199,-9.308467,-1.165369,-11.550612,0.414556,-5.941377,-0.077006,-1.318687,0.195048,-0.000000,0.195048,2.241635,0.000000
80,8.000000,-3.465582,-9.595446,-6.309186,-11.624948,0.083301,-6.340706,-0.136966,-1.368253,0.192706,-0.000000,0.192706,2.273409,0.000000
81,8.100000,-3.785733,-9.904599,-4.245098,-13.829010,-0.135796,-6.827495,-0.174565,-1.432316,0.190419,-0.000000,0.190419,2.303904,0.000000
82,8.200000,-4.087529,-10.228739,-2.025990,-12.115540,-0.241357,-7.212773,-0.190499,-1.476090,0.188186,-0.000000,0.188186,2.335033,0.000000
83,8.300000,-4.385295,-10.554024,-4.152061,-10.976789,-0.441373,-7.528548,-0.222838,-1.506141,0.186004,-0.000000,0.186004,2.366410,0.000000
84,8.400001,-4.688550,-10.896586,-2.654871,-8.543738,-0.564382,-7.718906,-0.240626,-1.513160,0.183872,-0.000000,0.183872,2.399822,0.000000
85,8.500000,-5.034739,-11.264090,-5.609870,-13.206723,-0.816653,-8.112749,-0.280458,-1.555492,0.181788,-0.000000,0.181788,2.433141,0.000000
86,8.600000,-5.401638,-11.674956,-7.245496,-10.707074,-1.132336,-8.377893,-0.330086,-1.574401,0.179751,-0.000000,0.179751,2.467176,0.000000
87,8.700000,-5.786983,-12.081729,-7.197700,-13.383604,-1.433419,-8.750790,-0.375813,-1.611153,0.177758,-0.000000,0.177758,2.501432,0.000000
88,8.800000,-6.186506,-12.504259,-4.241891,-10.866176,-1.592788,-8.997798,-0.396354,-1.625640,0.175809,-0.000000,0.175810,2.538259,0.000000
89,8.900001,-6.640977,-12.904918,-5.012143,-15.286409,-1.779359,-9.426699,-0.420861,-1.670061,0.173903,-0.000000,0.173903,2.576476,0.000000
90,9.000000,-7.108238,-13.271124,-10.039069,-12.001039,-2.174879,-9.697246,-0.479161,-1.687141,0.172037,-0.000000,0.172037,2.615106,0.000000
91,9.100000,-7.585738,-13.639488,-9.794799,-12.601692,-2.545004,-9.982374,-0.531733,-1.706135,0.170211,-0.000000,0.170210,2.654373,0.000000
92,9.200000,-8.103609,-13.970984,-5.385721,-11.326137,-2.715548,-10.202382,-0.550677,-1.714108,0.168423,-0.000000,0.168422,2.696532,0.000000
93,9.300000,-8.580711,-14.310575,-11.354322,-13.155758,-3.128281,-10.489707,-0.607793,-1.732619,0.166672,-0.000000,0.166671,2.738675,0.000000
94,9.400001,-9.070452,-14.683732,-10.745704,-13.784034,-3.500688,-10.791678,-0.657032,-1.752957,0.164956,-0.000000,0.164956,2.781372,0.000000
95,9.500000,-9.554667,-15.069099,-9.934718,-15.373757,-3.826339,-11.146856,-0.697678,-1.781083,0.163276,-0.000000,0.163276,2.824717,0.000000
96,9.600000,-10.015169,-15.466227,-8.200322,-13.849613,-4.070029,-11.426974,-0.724592,-1.796870,0.161629,-0.000000,0.161630,2.869694,0.000000
97,9.700000,-10.459789,-15.872815,-12.315031,-16.506470,-4.469422,-11.802672,-0.774669,-1.826893,0.160016,-0.000000,0.160016,2.914312,0.000000
98,9.800000,-10.908992,-16.274139,-11.974595,-15.110620,-4.841089,-12.109144,-0.819276,-1.845662,0.158434,-0.000000,0.158434,2.959216,0.000000
99,9.900001,-11.346774,-16.636538,-9.991109,-18.746449,-5.121791,-12.546789,-0.849114,-1.883652,0.156883,-0.000000,0.156883,3.004106,0.000000
